record_id,redcap_survey_identifier,language_survey_timestamp,language_survey_complete,survey_questions_timestamp,age,gender,gender_other,race_culture___1,race_culture___2,race_culture___3,race_culture___4,race_culture___5,race_culture___6,race_culture___8,race_culture___9,race_culture___11,race_culture___13,race_culture___14,race_culture___15,race_culture___16,race_culture___999,race_culture___17,race_culture___18,race_culture_other,med_year,med_year_other,children,specialty,specialty_reason,specialty_change,discouragement,discouragement_reason,family_compatible,family_concerns_det,workload_det,add_training_det,hours_involved_det,stress_levels_det,mentor_barrier,family_support,enough_exposure,equal_rep_res,equal_rep_atten,gender_bias_evi,concern_gender_bias,my_mentor_is_a,orthopaedics,general_surgery,ob_gyn,vascular_surgery,urology,ent,plastic_surgery,neurosurgery,cardiac_surgery,are_there_any_other_specif,survey_questions_complete
1,,"2022-10-06 10:51:09",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,"2022-10-10 15:06:28",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,"2022-12-16 05:47:43",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,,"2022-12-16 05:55:27",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,,"2022-12-16 06:46:29",2,"2022-12-16 06:51:52",24,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,0,0,"I don't see myself as being that much hands on. Also the culture and work life balance is not something I see myself enjoying in the future. The residents work an insane amount of hours and have to function on next to no sleep which I doesn't appeal to me. The culture of surgery can also be intimidating and it can be a very unwelcoming environment. ","Culture change",0,,1,3,5,2,5,2,3,2,4,4,2,4,2,4,"Gender bias (mostly male), poor culture, life in residency ","Life in residency",,,,,,,,,2
6,,"2022-12-16 06:51:25",2,"2022-12-16 06:52:25",24,1,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,3,,0,0,"Mysoginy and the residency",,1,,1,5,5,5,5,5,2,5,3,1,1,5,5,2,,,,,,,,,,,2
7,,"2022-12-16 07:00:04",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,,"2022-12-16 07:02:48",2,"2022-12-16 07:07:20",25,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,0,1,,,1,"Several surgical residents stating ""life sucks"" ""the residency is too much work"" ""you don't make enough money for the work""",4,2,3,1,3,4,4,1,4,2,2,5,4,4,,,"Female dominated. Men are sometimes refused by patients limiting experience and making me concerned about a possible future career.",,,,"Aesthetic surgery is part of plastic surgery that can be viewed as a self esteem building factor in a patient's life, which is an important part of her healthcare. Attendings who participate in interviews have stated that mentioning aesthetic surgery is a detriment to interviewees despite it being a part of the specialty.",,,,2
9,,"2022-12-16 07:08:43",2,"2022-12-16 07:11:28",29,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,,,1,,2,4,4,5,5,2,4,2,4,4,4,2,1,2,,,,,,,,,,,2
10,,"2022-12-16 07:08:53",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,"2022-12-16 07:11:28",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,,"2022-12-16 07:13:09",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,,"2022-12-16 07:21:07",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,,"2022-12-16 07:33:42",2,"2022-12-16 07:38:21",26,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4,,0,0,"Lifestyle mainly, and personalities that I worked with in surgery are not what I look for in a colleague","Better work-life balance, especially in residency but also as an attending  Culture is toxic with a lot of people who are egotistical and ""type A"" - worked with a lot of hot heads who only cared about themselves and not the others in the OR room or the patient",0,,2,3,4,2,4,3,2,3,4,3,4,3,3,1,,,,,,,,,,,2
15,,"2022-12-16 07:41:51",2,"2022-12-16 07:45:10",25,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4,,0,0,"I was very interested in a surgical specialty and was planning on pursuing, but in third year rotations I experienced a different specialty that better fit with my overall goals and values as a future physician ","I only had very positive experiences in surgery. There was nothing about the culture or expectations that turned me away from the specialty. ",0,,4,2,1,2,2,2,2,2,4,2,1,4,2,1,,,,,,,,,,,2
16,,"2022-12-16 07:44:54",2,"2022-12-16 07:48:10",26,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"Learning Culture, time demand, ","The culture around having a life outside of surgery is almost frowned upon and looked at as being less committed to the speciality. The mentality that surgeons are the ""top dogs"" ",0,,2,3,2,2,4,2,3,3,4,2,2,4,4,1,"No jobs ","""Top dog"" mentality ","The culture ","Time demand ",,,,,,,2
17,,"2022-12-16 07:52:06",2,"2022-12-16 07:57:12",25,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"Long and unpredictable hours, poor work-life balance, culture is not very friendly and does not seem to prioritize personal wellbeing","The above listed factors would have to be improved",1,"Not a specific situation, rather than a combination of trainees and staff in surgical and non-surgical specialties advising against it, mainly due to mentions of poor work life balance, high stress",3,3,5,5,5,5,2,1,5,3,3,2,1,4,,,,,,,,,,,2
